p	linkRatio	samplenum
21.8	0.2671232876712329	146
27.8	0.3424657534246575	73
25.4	0.2782608695652174	115
23.8	0.3482142857142857	112
24.6	0.3170731707317073	123
21.7	0.3253012048192771	166
39.8	0.4	20
13.9	0.2088607594936709	632
12.3	0.18333333333333332	840
19.1	0.2925764192139738	229
12.0	0.18828932261768083	871
15.1	0.22334004024144868	497
23.6	0.34146341463414637	123
21.4	0.2972972972972973	185
16.9	0.28774928774928776	351
21.1	0.3333333333333333	195
22.0	0.2822085889570552	163
18.6	0.2988929889298893	271
30.4	0.3584905660377358	53
12.8	0.18904109589041096	730
28.4	0.31645569620253167	79
26.9	0.3563218390804598	87
15.0	0.23732251521298176	493
22.6	0.34459459459459457	148
19.6	0.29107981220657275	213
19.5	0.2706422018348624	218
28.1	0.47368421052631576	76
19.7	0.2183406113537118	229
18.5	0.24907063197026022	269
15.6	0.2245762711864407	472
14.7	0.19324577861163228	533
14.4	0.21782178217821782	505
19.2	0.2631578947368421	228
20.2	0.3165137614678899	218
19.4	0.2672413793103448	232
20.8	0.2857142857142857	175
23.2	0.2805755395683453	139
18.3	0.28515625	256
17.2	0.24183006535947713	306
11.1	0.16041275797373358	1066
20.6	0.27403846153846156	208
21.9	0.26011560693641617	173
18.7	0.22846441947565543	267
20.9	0.24561403508771928	171
21.0	0.2356020942408377	191
21.2	0.3028571428571429	175
20.4	0.2871287128712871	202
18.0	0.2305194805194805	308
15.7	0.22535211267605634	426
22.2	0.3383458646616541	133
14.2	0.2388888888888889	540
16.2	0.2375	400
31.8	0.3541666666666667	48
27.7	0.35064935064935066	77
16.5	0.2342857142857143	350
19.0	0.3035019455252918	257
18.4	0.2846975088967972	281
17.7	0.28169014084507044	284
18.1	0.2768166089965398	289
17.5	0.2271186440677966	295
25.0	0.3229166666666667	96
29.1	0.39705882352941174	68
16.8	0.20930232558139536	344
18.8	0.2178988326848249	257
18.2	0.27697841726618705	278
14.8	0.20809248554913296	519
36.3	0.4482758620689655	29
24.9	0.3627450980392157	102
23.5	0.3492063492063492	126
24.4	0.3274336283185841	113
32.8	0.46511627906976744	43
25.1	0.32038834951456313	103
20.1	0.3076923076923077	195
27.9	0.3157894736842105	76
17.8	0.25524475524475526	286
24.7	0.3118279569892473	93
17.3	0.21694915254237288	295
30.7	0.46153846153846156	39
22.8	0.2827586206896552	145
18.9	0.2623574144486692	263
40.9	0.38095238095238093	21
21.6	0.2839506172839506	162
28.5	0.37037037037037035	54
19.9	0.2616822429906542	214
36.8	0.36363636363636365	22
24.5	0.28448275862068967	116
27.0	0.3855421686746988	83
23.0	0.36220472440944884	127
23.9	0.33035714285714285	112
33.2	0.5121951219512195	41
22.7	0.2824427480916031	131
24.8	0.30275229357798167	109
21.3	0.2677595628415301	183
34.1	0.4375	32
45.6	0.23076923076923078	13
28.6	0.29850746268656714	67
24.0	0.19607843137254902	102
28.8	0.3611111111111111	72
19.3	0.2692307692307692	208
23.1	0.32666666666666666	150
15.5	0.20892018779342722	426
32.7	0.4523809523809524	42
39.7	0.5882352941176471	17
25.8	0.3829787234042553	94
25.2	0.28431372549019607	102
28.3	0.3582089552238806	67
31.5	0.37209302325581395	43
20.0	0.24509803921568626	204
30.6	0.3392857142857143	56
26.5	0.3372093023255814	86
23.7	0.3333333333333333	114
25.7	0.42857142857142855	77
23.4	0.30656934306569344	137
37.2	0.4444444444444444	27
30.2	0.2727272727272727	44
26.0	0.3707865168539326	89
25.5	0.31958762886597936	97
40.2	0.6153846153846154	13
33.6	0.4594594594594595	37
20.7	0.2914572864321608	199
41.9	0.35714285714285715	14
25.9	0.375	120
39.2	0.3181818181818182	22
20.5	0.23300970873786409	206
30.0	0.38235294117647056	68
19.8	0.3127962085308057	211
83.1	0.6666666666666666	3
34.5	0.5	28
42.1	0.5625	16
51.2	0.42857142857142855	7
31.3	0.34210526315789475	38
50.7	0.4444444444444444	9
55.3	0.8333333333333334	6
22.5	0.3382352941176471	136
61.1	0.6666666666666666	6
45.0	0.4166666666666667	12
66.0	0.5	2
56.0	0.6666666666666666	6
72.2	1.0	1
45.2	0.5	10
48.4	0.375	8
38.2	0.4166666666666667	24
26.2	0.30666666666666664	75
75.9	1.0	2
34.2	0.4411764705882353	34
50.2	0.6666666666666666	9
51.3	1.0	6
32.1	0.39622641509433965	53
43.8	0.5555555555555556	9
66.8	0.0	2
41.0	0.29411764705882354	17
51.6	0.3333333333333333	6
54.2	0.8888888888888888	9
42.8	0.46153846153846156	13
35.3	0.5263157894736842	38
33.1	0.5853658536585366	41
31.2	0.3333333333333333	42
32.3	0.4883720930232558	43
55.7	0.4	5
68.2	1.0	2
45.8	0.5	8
43.7	0.46153846153846156	13
60.3	1.0	7
30.8	0.30357142857142855	56
62.1	0.5	4
41.8	0.5	20
93.8	1.0	2
37.7	0.5625	32
67.1	1.0	2
47.0	0.35714285714285715	14
52.5	0.8333333333333334	6
46.1	0.5555555555555556	9
29.9	0.4	55
38.9	0.6875	16
57.6	0.3333333333333333	3
46.3	0.3333333333333333	15
50.8	0.375	8
79.0	1.0	3
33.4	0.42857142857142855	35
39.5	0.5263157894736842	19
58.0	0.8	5
22.3	0.23357664233576642	137
36.0	0.34615384615384615	26
34.6	0.42857142857142855	35
34.0	0.5	40
42.3	0.4166666666666667	12
45.9	0.35714285714285715	14
61.5	0.6666666666666666	6
57.4	0.5	8
27.1	0.3493975903614458	83
33.8	0.29411764705882354	34
71.5	0.6666666666666666	3
40.3	0.68	25
34.8	0.48	25
36.7	0.5357142857142857	28
57.9	0.5	4
64.6	0.5	2
79.4	1.0	3
69.1	0.6	5
49.9	0.5882352941176471	17
52.1	0.3333333333333333	3
32.2	0.4878048780487805	41
111.7	1.0	1
58.6	1.0	4
87.0	0.5	2
59.0	0.7	10
35.0	0.45161290322580644	31
85.3	0.5	2
49.5	0.5454545454545454	11
107.7	1.0	1
35.6	0.42857142857142855	35
33.0	0.49019607843137253	51
27.5	0.38961038961038963	77
29.0	0.3387096774193548	62
29.2	0.26666666666666666	60
52.7	0.6666666666666666	6
22.9	0.30714285714285716	140
35.8	0.42857142857142855	28
32.6	0.36585365853658536	41
36.9	0.4074074074074074	27
48.8	0.6666666666666666	12
40.1	0.2631578947368421	19
30.1	0.2641509433962264	53
32.4	0.35714285714285715	42
21.5	0.2634730538922156	167
29.6	0.29508196721311475	61
70.2	1.0	1
60.8	0.3333333333333333	3
41.5	0.2857142857142857	14
58.8	0.5	6
